stale_workbook,sheet,cell,old,new
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Amortization,*,<missing sheet>,<added sheet>
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B1,Assumptions & Flags,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A2,,ASSUMPTIONS & FLAGS
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B2,Blue text = enter value here  ·  All Pro Forma formulas reference this tab  ·  Flag all discrepancies below,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A3,,All key inputs for the Pro Forma  ·  Blue text = broker enters  ·  Yellow = fill before delivering  ·  Flag discrepancies in right column
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B4,KEY INPUTS — DEAL ASSUMPTIONS,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A5,,PROPERTY IDENTIFICATION
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B5,PARAMETER,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,C5,VALUE,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D5,SOURCE / NOTES,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G5,,DEBT / LEVERAGE ASSUMPTIONS
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A6,,Property Address
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B6,PROPERTY,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E6,,Used on Cover and Executive Summary
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G6,,Purchase Price ($)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K6,,Link to left side C36 or enter here
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A7,,Tenant / Operator
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B7,Property Address,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D7,From listing / lease,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E7,,Trade name + entity name
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,G7,,LTV (%)
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,K7,,Default 65%
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,A8,,Guarantor
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,B8,GLA / RBA (SF),
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,D8,Verify vs lease + tax records,
"C:\Users\scott\OneDrive - NorthMarq Capital, LLC\Team Briggs - Documents\_WORKFLOW\BOV_Master_NNN_Briggs.xlsx",Assumptions & Flags,E8,,Corporate or personal
